Paises,tipo_de_processo,Utilização_final,Numero_de_plantas,Capacidade_de_produção_T/ano,Produção_T/ano,Ano,Total,Cluster
Brazil,H2V,Refining,0,0,0,2023,0,0
Brazil,Onibus,Mobility,1,0,0,2023,0,0
Brazil,Purificação de H2,Unknown,10,300,300,2023,600,3
Brazil,H2V,Unknown,5,0,0,2023,0,0
Brazil,H2V,Unknown,6,465,465,2023,930,0
Brazil,Onibus,Mobility,0,390,390,2023,780,0
Brazil,Reforma a vapor BioCH4 e NH3V,,8,240,240,2023,480,3
Brazil,NH3V,Ammonia,0,500000,500000,2023,1000000,0
Brazil,H2V,Unknown,6,10,10,2023,20,0
Brazil,Transporte,Mobility,0,0,0,2023,0,0
Brazil,NH3V,Ammonia,0,4000,4000,2023,8000,0
Brazil,NH3V,Ammonia,0,2000,2000,2023,4000,0
Brazil,NH3V,Ammonia,15,0,0,2023,0,3
Brazil,H2V,Unknown,16,0,0,2023,0,3
Brazil,H2V,Unknown,17,0,0,2023,0,3
Brazil,NH3V,Ammonia,0,120000,120000,2023,240000,0
Brazil,H2V,Unknown,6,10,10,2023,20,0
